name,brewery,year,abv,style,size,stock,purchased,drunk,ibu,collaborators,barrel_aged,barrel_type,brewed_with
Twelve Yellow Legs,Cloudwater Brew Co.,2020,10,Triple New England IPA,440,0,1,true,,,false,,
A Name For The Other One,Cloudwater Brew Co.,2020,6,American IPA,440,0,1,true,,,false,,
Koru,Equilibrium,2020,10,Triple IPA,440,0,1,true,,,false,,
Fractal Lab Nelson/Citra,Equilibrium,2020,6.8,American IPA,440,0,1,true,,,false,,
Two Of A Kind,Cloudwater Brew Co.,2020,7,New England IPA,440,0,1,true,,Equilibrium,false,,
Coolship,The Wild Beer,2020,5.9,Wild Ale,750,1,1,false,,,false,,
Jupiters,Whiplash,2020,5.1,Pale Ale,440,0,1,true,,,false,,
Big Little,Heaney Farmhouse,2020,4.2,IPA,440,0,1,true,,,false,,
Wild IPA,The Wild Beer,2020,5.2,Farmhouse IPA,440,0,1,true,,,false,,
IDAHO 7,White Hag,2020,5.5,Smash IPA,440,0,1,true,,,false,,
CITRA ,White Hag,2020,5.5,Smash IPA,440,0,1,true,,,false,,
DiDi,Trouble Brewing,2020,4.7,New England Pale Ale,440,0,1,true,,,false,,
Honest Promise,Whiplash,2020,5,Pale Ale,330,0,1,true,,Honest Brew,false,,
The Dark Druid,White Hag,2020,5.5,Chocolate Orange Pastry Stout,330,0,1,true,,,false,,
There Will Be No Intervals,Verdant Brewing co.,2020,4.5,New England Pale Ale,440,0,1,true,,,false,,
Degrees,Verdant Brewing co.,2020,8,Double IPA,440,0,1,true,,Deya,false,,
"Fruit, Car, Sight, Exhibiton",Verdant Brewing co.,2020,8,Double IPA,440,0,1,true,,,false,,
Pulp Double,Verdant Brewing co.,2020,8,IPA,440,0,1,true,,,false,,
Even Sharks Need Water,Verdant Brewing co.,2020,6.5,IPA,440,0,1,true,,,false,,
Two Hundred Fathoms,Galway Bay,2020,10,Imperial Stout,500,4,4,false,,,true,Whiskey,
Two Hundred Fathoms,Galway Bay,2018,10,Imperial Stout,500,2,2,false,,Calendar Coffee,true,Bourbon & Rum,Espresso Coffee
Two Hundred Fathoms,Galway Bay,2018,10,Imperial Stout,500,2,2,false,,,true,Bourbon & Rum,Madagascan Vanilla Beans & REAL organic Toasted Coconut Flakes
Jaipur X,Thornbridge Brewery,2020,10,Imperial IPA,440,0,1,true,80,,false,,
Racer 5,Bear Republic,2020,7.5,IPA,355,0,3,true,,,false,,
